X,Y,Name,description
10.483982,45.102474,Bozzolo,
9.708752,45.823585,Bracca,
9.282362,44.738654,Brallo di Pregola,
10.052666,45.454178,Brandico,
9.75935,46.002489,Branzi,
10.342563,45.990794,Braone,
8.646228,45.827275,Brebbia,
8.687729,45.825775,Bregano,
9.05,45.7166667,Bregnano,
9.556553,45.604778,Brembate,
9.579451,45.716681,Brembate di Sopra,
9.595849,45.822183,Brembilla,
9.57146,45.214568,Brembio,
8.625641,45.127557,Breme,
9.187142,45.742978,Brenna,
10.304763,45.957793,Breno,
8.683728,45.894177,Brenta,
10.227269,45.524782,Brescia,
9.132653,45.078861,Bressana Bottarone,
9.197546,45.537873,Bresso,
8.717427,45.978379,Brezzo di Bedero,
9.130237,45.909181,Brienno,
9.647656,45.546577,Brignano Gera d'Adda,
8.78963,45.889378,Brinzio,
10.148465,45.642284,Brione,
9.240644,45.710077,Briosco,
8.746128,45.948579,Brissago-Valtravaglia,
9.426847,45.73918,Brivio,
9.262256,45.065462,Broni,
9.294048,45.557274,Brugherio,
9.500547,45.855083,Brumano,
9.094338,45.820979,Brunate,
8.795333,45.764975,Brunello,
9.761356,45.671381,Brusaporto,
8.8833333,45.9333333,Brusimpiano,
9.014546,45.327266,Bubbiano,
9.10697937011719,45.4171299468601,Buccinasco,
9.674844,46.182693,Buglio in Monte,
8.810633,45.782275,Buguggiate,
9.285344,45.750579,Bulciago,
9.006438,45.747076,Bulgarograsso,
9.381649,45.596476,Burago di Molgora,
8.812037,45.545969,Buscate,
9.46375,45.616477,Busnago,
9.37205,45.534074,Bussero,
8.842737,45.612171,Busto Arsizio,
8.885639,45.54767,Busto Garolfo,
10.277477,45.119572,Ca' d'Andrea,
9.173743,45.674176,Cabiate,
8.84343,45.95948,Cadegliano-Viconago,
9.037839,45.727276,Cadorago,
8.643329,45.799274,Cadrezzate,
9.238841,45.872381,Caglio,
8.917335,45.811077,Cagno,
10.313169,45.609385,Caino,
9.814548,46.149994,Caiolo,
8.869436,45.689273,Cairate,
9.799258,45.62028,Calcinate,
10.413574,45.457182,Calcinato,
9.851261,45.509478,Calcio,
9.412547,45.724179,Calco,
9.437646,45.795381,Calolziocorte,
9.472649,45.691379,Calusco d'Adda,
10.441674,45.533384,Calvagese della Riviera,
10.441281,45.128574,Calvatone,
9.601356,45.496775,Calvenzano,
